symbol,direction,entry_time,entry_price,exit_time,exit_price,qty,pnl,r_multiple,bars_held,setup_w1,setup_w3,reason
NAS100,long,2017-05-02 17:00:00+00:00,5625.28,2017-05-03 14:00:00+00:00,5613.73,8.658008658008521,-100.0,-1.0,20,29.979999999999563,67.25,sl
NAS100,long,2017-05-10 12:00:00+00:00,5667.78,2017-05-11 13:00:00+00:00,5650.98,5.952380952380888,-100.0,-1.0,24,31.75,71.0,sl
NAS100,long,2017-05-15 15:00:00+00:00,5685.634,2017-05-16 16:00:00+00:00,5720.0,8.393486654355748,288.4505623635895,2.8845056236358952,24,37.77000000000044,43.27000000000044,tp
NAS100,long,2017-05-24 06:00:00+00:00,5696.3,2017-05-25 01:00:00+00:00,5745.0,5.390835579514772,262.5336927223684,2.625336927223684,18,54.0,69.5,tp
NAS100,long,2017-05-26 15:00:00+00:00,5776.78,2017-05-31 11:00:00+00:00,5805.209999999999,6.644518272425169,188.90365448504346,1.8890365448504345,62,32.72999999999956,87.75,tp
NAS100,long,2017-06-06 14:00:00+00:00,5869.679999999999,2017-06-06 19:00:00+00:00,5851.48,5.49450549450555,-100.0,-1.0,5,48.97999999999956,109.0,sl
NAS100,long,2017-07-10 15:00:00+00:00,5656.4839999999995,2017-07-10 17:00:00+00:00,5700.959999999999,4.079301623562025,181.43101900954323,1.8143101900954326,2,51.47999999999956,93.52000000000044,tp
NAS100,long,2017-07-18 06:00:00+00:00,5837.129999999999,2017-07-18 18:00:00+00:00,5873.23,4.645760743321797,167.71196283391856,1.6771196283391858,12,42.25,60.0,tp
NAS100,long,2017-09-04 13:00:00+00:00,5960.78,2017-09-05 16:00:00+00:00,5909.855,1.9636720667648433,-100.0,-1.0,23,121.47999999999956,156.25,sl
NAS100,long,2017-10-05 17:00:00+00:00,6021.48,2017-10-05 18:00:00+00:00,6052.73,6.349206349206349,198.4126984126984,1.9841269841269842,1,35.75,54.3799999999992,tp
NAS100,short,2017-10-24 14:00:00+00:00,6082.629999999999,2017-10-25 05:00:00+00:00,6061.23,5.102040816326436,109.18367346938388,1.0918367346938387,15,27.0,63.5,tp
NAS100,long,2017-10-31 05:00:00+00:00,6211.53,2017-11-01 01:00:00+00:00,6266.25,2.9154518950437165,159.5335276967929,1.595335276967929,20,64.52000000000044,216.22999999999956,tp
NAS100,long,2017-11-08 08:00:00+00:00,6303.026,2017-11-09 14:00:00+00:00,6278.785000000001,4.125242357988689,-100.00000000000001,-1.0,30,80.0,95.25,sl
NAS100,long,2017-11-23 10:00:00+00:00,6379.08,2017-11-26 23:00:00+00:00,6412.459999999999,7.421150278292935,247.71799628941224,2.4771799628941222,18,37.22999999999956,89.8799999999992,tp
NAS100,long,2017-11-27 12:00:00+00:00,6403.746,2017-11-27 15:00:00+00:00,6422.0,7.62718328121432,139.22660361528548,1.3922660361528547,3,22.0,39.5,tp
NAS100,long,2017-12-12 16:00:00+00:00,6378.7339999999995,2017-12-12 17:00:00+00:00,6395.48,3.8074931465123183,63.76028023149564,0.6376028023149565,1,24.25,69.52000000000044,tp
NAS100,long,2018-01-08 15:00:00+00:00,6658.2339999999995,2018-01-09 18:00:00+00:00,6705.25,5.191029900332192,244.0614617940211,2.440614617940211,26,52.52000000000044,66.52000000000044,tp
NAS100,long,2018-01-23 15:00:00+00:00,6926.87,2018-01-23 20:00:00+00:00,6979.35,3.7495313085864166,196.77540307461692,1.9677540307461692,5,60.100000000000364,147.10000000000036,tp
NAS100,short,2018-02-09 18:00:00+00:00,6395.9839999999995,2018-02-12 09:00:00+00:00,6490.469999999999,1.058357851956905,-100.0,-1.0,14,227.10000000000036,329.5,sl
NAS100,long,2018-03-14 09:00:00+00:00,7051.496,2018-03-19 08:00:00+00:00,6932.51,0.8404350091607424,-100.0,-1.0,58,196.47999999999956,389.5,sl
NAS100,short,2018-04-23 14:00:00+00:00,6696.796,2018-04-24 15:00:00+00:00,6576.9,2.2490104354084233,269.64735516372974,2.6964735516372977,25,132.60000000000036,141.77000000000044,tp
NAS100,long,2018-05-08 16:00:00+00:00,6795.629999999999,2018-05-10 02:00:00+00:00,6916.75,2.093144950287823,253.52171637886283,2.5352171637886283,33,134.77000000000044,239.97999999999956,tp
NAS100,long,2018-05-11 15:00:00+00:00,6945.33,2018-05-14 14:00:00+00:00,7004.0,3.4217279726261336,200.7527801539755,2.007527801539755,23,67.02000000000044,170.75,tp
NAS100,long,2018-06-05 21:00:00+00:00,7147.946,2018-06-07 17:00:00+00:00,7116.635,3.193765769218517,-100.0,-1.0,44,132.22999999999956,222.75,sl
NAS100,short,2018-06-27 07:00:00+00:00,7102.429999999999,2018-06-27 08:00:00+00:00,7053.98,1.0660980810234522,51.652452025586065,0.5165245202558606,1,75.25,253.75,tp
NAS100,long,2018-07-09 19:00:00+00:00,7248.046,2018-07-10 00:00:00+00:00,7321.75,3.444000551040081,253.8366166138572,2.538366166138572,5,82.0,239.25,tp
NAS100,short,2018-07-30 15:00:00+00:00,7297.084,2018-07-30 16:00:00+00:00,7186.58,2.5633795596114237,283.2636948553005,2.8326369485530054,1,121.64999999999964,195.25,tp
NAS100,long,2018-08-08 09:00:00+00:00,7456.954,2018-08-10 05:00:00+00:00,7431.669999999999,3.955070400253037,-100.0,-1.0,44,61.75,98.6200000000008,sl
NAS100,long,2018-08-29 03:00:00+00:00,7570.23,2018-08-30 16:00:00+00:00,7686.709999999999,4.395604395604396,511.9999999999981,5.119999999999981,37,122.97999999999956,185.25,tp
NAS100,long,2018-08-30 16:00:00+00:00,7648.33,2018-08-30 17:00:00+00:00,7677.48,4.4994375703036384,131.15860517434942,1.3115860517434943,1,35.5,93.0,tp
NAS100,short,2018-09-06 10:00:00+00:00,7553.129999999999,2018-09-06 13:00:00+00:00,7506.48,2.267573696145106,105.78231292516837,1.0578231292516838,3,59.25,121.0,tp
NAS100,short,2018-09-10 14:00:00+00:00,7468.08,2018-09-11 16:00:00+00:00,7520.23,1.917545541706629,-100.0,-1.0,26,121.0,157.25,sl
NAS100,short,2018-10-08 16:00:00+00:00,7422.076,2018-10-08 17:00:00+00:00,7362.35,1.8112988824285652,108.18163705192786,1.0818163705192787,1,75.5,343.77000000000044,tp
NAS100,short,2018-10-23 04:00:00+00:00,7178.896,2018-10-23 06:00:00+00:00,7062.98,0.9335847788337617,108.21741322329447,1.0821741322329448,2,146.52000000000044,266.0,tp
NAS100,short,2018-11-13 20:00:00+00:00,6928.7339999999995,2018-11-15 14:00:00+00:00,6742.379999999999,0.8929687639526379,166.40830103763014,1.6640830103763014,42,218.35000000000036,302.0,tp
NAS100,long,2018-11-29 20:00:00+00:00,6859.1,2018-12-02 23:00:00+00:00,7048.48,1.8026137899954817,341.3789995493429,3.4137899954934285,5,205.22999999999956,309.75,tp
NAS100,short,2018-12-06 00:00:00+00:00,6845.284,2018-12-06 01:00:00+00:00,6702.5,1.8202999854376103,259.9097131207231,2.599097131207231,1,158.47999999999956,268.22999999999956,tp
NAS100,short,2018-12-17 19:00:00+00:00,6599.280000000001,2018-12-17 20:00:00+00:00,6499.85,1.151145389662716,114.45838609416418,1.1445838609416417,1,124.25,336.0,tp
NAS100,short,2018-12-24 13:00:00+00:00,6081.02,2018-12-24 18:00:00+00:00,5877.7,1.3301409949454752,270.4442670923148,2.7044426709231484,5,224.80000000000018,322.39999999999964,tp
NAS100,long,2019-02-14 08:00:00+00:00,7008.42,2019-02-25 10:00:00+00:00,7120.4,2.097755401720156,234.90664988462217,2.3490664988462218,137,125.59999999999945,171.29999999999927,tp
NAS100,long,2019-03-28 10:00:00+00:00,7303.38,2019-03-31 22:00:00+00:00,7408.4,0.5475551661829926,57.50424355253762,0.5750424355253763,35,157.19999999999982,492.40000000000055,tp
NAS100,long,2019-04-24 11:00:00+00:00,7800.36,2019-04-25 14:00:00+00:00,7781.25,5.232862375719608,-100.0,-1.0,27,79.79999999999927,117.89999999999964,sl
NAS100,long,2019-05-16 10:00:00+00:00,7471.62,2019-05-16 16:00:00+00:00,7626.6,2.1132713440406286,327.5147928994176,3.275147928994176,6,168.5,185.69999999999982,tp
NAS100,short,2019-05-22 07:00:00+00:00,7448.3,2019-05-23 07:00:00+00:00,7339.2,1.1474469305794655,125.1864601262201,1.251864601262201,24,134.0,257.90000000000055,tp
NAS100,short,2019-05-28 08:00:00+00:00,7327.06,2019-05-29 00:00:00+00:00,7250.3,1.638269986893841,125.7536041939716,1.257536041939716,16,94.19999999999982,203.69999999999982,tp
NAS100,long,2019-06-11 09:00:00+00:00,7512.28,2019-06-12 14:00:00+00:00,7458.8,1.8698578908003145,-100.0,-1.0,28,112.0,375.09999999999945,sl
NAS100,long,2019-06-19 20:00:00+00:00,7619.6,2019-06-20 00:00:00+00:00,7702.700000000001,1.5873015873015872,131.90476190476247,1.3190476190476248,4,101.10000000000036,180.70000000000073,tp
NAS100,short,2019-06-27 11:00:00+00:00,7664.78,2019-06-30 22:00:00+00:00,7738.0,1.3657470636438085,-100.0,-1.0,34,70.70000000000073,181.79999999999927,sl
NAS100,long,2019-07-02 15:00:00+00:00,7750.56,2019-07-02 19:00:00+00:00,7793.8,1.582028160101249,68.40689764277766,0.6840689764277765,4,61.30000000000018,185.69999999999982,tp
NAS100,long,2019-07-12 06:00:00+00:00,7884.68,2019-07-18 00:00:00+00:00,7838.55,2.1677866897897196,-100.0,-1.0,89,125.09999999999945,150.39999999999964,sl
NAS100,short,2019-07-18 16:00:00+00:00,7869.599999999999,2019-07-18 20:00:00+00:00,7920.7,1.9569471624266006,-100.0,-1.0,4,76.19999999999982,132.80000000000018,sl
NAS100,long,2019-07-25 12:00:00+00:00,7993.88,2019-07-25 13:00:00+00:00,7957.900000000001,2.779321845469739,-100.0,-1.0,1,77.0,126.60000000000036,sl
NAS100,short,2019-09-17 07:00:00+00:00,7853.24,2019-09-18 18:00:00+00:00,7799.599999999999,1.714971702966916,91.99108214714593,0.9199108214714594,35,70.30000000000018,166.19999999999982,tp
NAS100,short,2019-10-30 14:00:00+00:00,8060.0,2019-10-30 19:00:00+00:00,8080.3,4.926108374384192,-100.0,-1.0,5,47.900000000000546,70.0,sl
NAS100,long,2019-11-06 09:00:00+00:00,8199.74,2019-11-06 16:00:00+00:00,8162.500000000001,2.6852846401719397,-100.0,-1.0,7,117.69999999999982,132.79999999999927,sl
NAS100,long,2019-12-23 06:00:00+00:00,8663.18,2019-12-23 11:00:00+00:00,8696.3,3.8714672861011707,128.22299651566684,1.2822299651566682,5,40.5,117.30000000000109,tp
NAS100,long,2020-01-29 18:00:00+00:00,9081.36,2020-01-30 07:00:00+00:00,9020.95,1.6553550736633047,-100.0,-1.0,12,112.80000000000109,186.6999999999989,sl
NAS100,short,2020-02-25 11:00:00+00:00,9179.960000000001,2020-02-25 16:00:00+00:00,8971.500000000002,0.7905763301446769,164.80354178195864,1.6480354178195864,5,244.59999999999854,656.6000000000004,tp
NAS100,short,2020-03-08 23:00:00+00:00,8520.300000000001,2020-03-09 00:00:00+00:00,8292.6,0.5515719801434109,125.59293987865506,1.2559293987865507,1,279.5,555.6999999999989,tp
NAS100,short,2020-03-09 20:00:00+00:00,8161.0599999999995,2020-03-12 01:00:00+00:00,7688.700000000001,0.34282971647982385,161.93904487640918,1.6193904487640918,51,555.6999999999989,744.4000000000005,tp
NAS100,long,2020-04-08 16:00:00+00:00,8031.64,2020-04-08 19:00:00+00:00,8242.2,0.41204829205983007,86.76088837611799,0.8676088837611798,3,279.89999999999964,869.3000000000002,tp
NAS100,long,2020-05-20 09:00:00+00:00,9305.26,2020-05-26 03:00:00+00:00,9571.199999999999,0.9865824782951621,262.3717442778141,2.6237174427781413,82,294.89999999999964,488.0,tp
NAS100,long,2020-06-08 18:00:00+00:00,9774.74,2020-06-08 19:00:00+00:00,9879.5,1.1364927832708291,119.0589839754523,1.190589839754523,1,129.89999999999964,272.0,tp
NAS100,long,2020-07-03 10:00:00+00:00,10349.28,2020-07-06 14:00:00+00:00,10561.5,1.3489815189532048,286.28085795224825,2.8628085795224827,23,233.39999999999964,349.2999999999993,tp
NAS100,long,2020-08-25 02:00:00+00:00,11571.22,2020-08-26 14:00:00+00:00,11834.5,0.7378984651712,194.273907910274,1.9427390791027401,36,302.0,317.5,tp
NAS100,long,2020-08-27 16:00:00+00:00,11933.619999999999,2020-08-31 00:00:00+00:00,12066.599999999999,1.065303078725909,141.66400340897093,1.4166400340897092,31,159.79999999999927,461.89999999999964,tp
NAS100,long,2020-09-01 15:00:00+00:00,12152.699999999999,2020-09-01 19:00:00+00:00,12299.699999999999,1.170960187353635,172.13114754098436,1.7213114754098433,4,171.39999999999964,260.1999999999989,tp
NAS100,long,2020-09-28 21:00:00+00:00,11269.52,2020-10-01 12:00:00+00:00,11592.400000000001,1.0382059800664483,335.2159468438559,3.352159468438559,63,350.40000000000146,553.8999999999996,tp
NAS100,short,2020-10-20 16:00:00+00:00,11731.52,2020-10-22 14:00:00+00:00,11535.5,0.9076057360682496,177.90887638409868,1.7790887638409867,45,227.5,356.2999999999993,tp
NAS100,short,2020-10-29 12:00:00+00:00,11272.4,2020-10-29 17:00:00+00:00,11391.4,0.8403361344537815,-100.0,-1.0,5,350.5,498.39999999999964,sl
NAS100,long,2020-11-26 00:00:00+00:00,12097.539999999999,2020-11-27 14:00:00+00:00,12247.4,1.5328019619865165,229.70570202330026,2.2970570202330025,33,168.5,297.7000000000007,tp
NAS100,long,2020-12-17 22:00:00+00:00,12697.12,2020-12-18 20:00:00+00:00,12642.45,1.829156758734221,-100.0,-1.0,22,179.89999999999964,189.60000000000036,sl
NAS100,long,2020-12-28 17:00:00+00:00,12763.1,2020-12-28 18:00:00+00:00,12846.0,1.670843776106924,138.5129490392634,1.3851294903926339,1,100.0,168.39999999999964,tp
NAS100,long,2021-01-08 21:00:00+00:00,12964.54,2021-01-12 14:00:00+00:00,12868.15,1.0374520178441613,-99.99999999999999,-1.0,40,307.7999999999993,473.60000000000036,sl
NAS100,long,2021-01-21 16:00:00+00:00,13312.1,2021-01-25 12:00:00+00:00,13511.400000000001,1.3289036544850499,264.8504983388719,2.648504983388719,42,220.8000000000011,540.3000000000011,tp
